time,asset,yes,no,event,pnl
03/26 15:14:10,BTC,0.175,0.825,holding,
03/26 15:14:10,ETH,0.095,0.905,holding,
03/26 15:14:10,SOL,0.965,0.035,holding,
03/26 15:14:12,BTC,0.205,0.795,holding,
03/26 15:14:12,ETH,0.085,0.915,holding,
03/26 15:14:12,SOL,0.96,0.04,holding,
03/26 15:14:15,BTC,0.155,0.845,holding,
03/26 15:14:15,ETH,0.055,0.945,holding,
03/26 15:14:15,SOL,0.97,0.03,holding,
03/26 15:14:17,BTC,0.125,0.875,holding,
03/26 15:14:18,ETH,0.05,0.95,holding,
03/26 15:14:18,SOL,0.975,0.025,holding,
03/26 15:14:20,BTC,0.105,0.895,holding,
03/26 15:14:20,ETH,0.065,0.935,holding,
03/26 15:14:20,SOL,0.975,0.025,holding,
03/26 15:14:23,BTC,0.09,0.91,holding,
03/26 15:14:23,ETH,0.06,0.94,holding,
03/26 15:14:23,SOL,0.985,0.015,holding,
03/26 15:14:25,BTC,0.085,0.915,holding,
03/26 15:14:26,ETH,0.015,0.985,*** SELL NO @ 97.50% ***,
03/26 15:14:27,ETH,0.015,0.985,holding,
03/26 15:14:27,BTC,0.015,0.985,*** SELL NO @ 98.50% ***,
03/26 15:14:28,SOL,0.985,0.015,holding,
03/26 15:14:30,BTC,0.005,0.995,holding,
03/26 15:14:30,ETH,0.015,0.985,holding,
03/26 15:14:30,SOL,0.985,0.015,holding,
03/26 15:14:33,BTC,0.015,0.985,holding,
03/26 15:14:33,ETH,0.015,0.985,holding,
03/26 15:14:33,SOL,0.985,0.015,holding,
03/26 15:14:35,BTC,0.015,0.985,holding,
03/26 15:14:35,ETH,0.015,0.985,holding,
03/26 15:14:35,SOL,0.985,0.015,holding,
03/26 15:14:38,BTC,0.015,0.985,holding,
03/26 15:14:38,ETH,0.015,0.985,holding,
03/26 15:14:38,SOL,0.985,0.015,holding,
03/26 15:14:40,BTC,0.015,0.985,holding,
03/26 15:14:40,ETH,0.015,0.985,holding,
03/26 15:14:41,SOL,0.985,0.015,holding,
03/26 15:14:43,BTC,0.015,0.985,holding,
03/26 15:14:43,ETH,0.005,0.995,holding,
03/26 15:14:43,SOL,0.985,0.015,holding,
03/26 15:14:45,BTC,0.015,0.985,holding,
03/26 15:14:46,ETH,0.005,0.995,holding,
03/26 15:14:46,SOL,0.985,0.015,holding,
03/26 15:14:48,BTC,0.005,0.995,holding,
03/26 15:14:48,ETH,0.005,0.995,holding,
03/26 15:14:48,SOL,0.985,0.015,holding,
03/26 15:14:50,BTC,0.005,0.995,holding,
03/26 15:14:51,ETH,0.005,0.995,holding,
03/26 15:14:51,SOL,0.99,0.01,holding,
03/26 15:14:53,BTC,0.005,0.995,holding,
03/26 15:14:53,ETH,0.005,0.995,holding,
03/26 15:14:53,SOL,0.995,0.005,holding,
03/26 15:14:56,BTC,0.005,0.995,holding,
03/26 15:14:56,ETH,0.005,0.995,holding,
03/26 15:14:56,SOL,0.995,0.005,holding,
03/26 15:14:58,BTC,0.005,0.995,holding,
03/26 15:14:58,ETH,0.005,0.995,holding,
03/26 15:14:59,SOL,0.995,0.005,holding,
03/26 15:26:05,SOL,0.165,0.835,*** BUY NO @ 83.50% ***,
03/26 15:26:08,SOL,0.155,0.845,holding,
03/26 15:26:11,SOL,0.165,0.835,holding,
03/26 15:26:14,SOL,0.165,0.835,holding,
03/26 15:26:16,SOL,0.165,0.835,holding,
03/26 15:26:19,SOL,0.165,0.835,holding,
03/26 15:26:22,SOL,0.205,0.795,holding,
03/26 15:26:25,SOL,0.205,0.795,holding,
03/26 15:26:27,SOL,0.215,0.785,holding,
03/26 15:26:30,SOL,0.21,0.79,holding,
03/26 15:26:33,SOL,0.21,0.795,holding,
03/26 15:26:35,SOL,0.205,0.795,holding,
03/26 15:26:38,SOL,0.225,0.775,holding,
03/26 15:26:41,SOL,0.225,0.775,holding,
03/26 15:26:43,SOL,0.225,0.775,holding,
03/26 15:26:46,SOL,0.225,0.775,holding,
03/26 15:26:49,SOL,0.225,0.775,holding,
03/26 15:26:51,SOL,0.235,0.765,holding,
03/26 15:26:54,SOL,0.24,0.76,holding,
03/26 15:26:56,SOL,0.265,0.735,holding,
03/26 15:26:59,SOL,0.255,0.745,holding,
03/26 15:27:02,SOL,0.275,0.725,holding,
03/26 15:27:04,SOL,0.29,0.71,holding,
03/26 15:27:07,SOL,0.295,0.705,holding,
03/26 15:27:10,SOL,0.275,0.725,holding,
03/26 15:27:13,SOL,0.275,0.725,holding,
03/26 15:27:15,SOL,0.32,0.68,holding,
03/26 15:27:18,SOL,0.285,0.715,holding,
03/26 15:27:21,SOL,0.275,0.725,holding,
03/26 15:27:23,SOL,0.28,0.72,holding,
03/26 15:27:26,SOL,0.305,0.695,holding,
03/26 15:27:29,SOL,0.315,0.685,holding,
03/26 15:27:31,SOL,0.315,0.685,holding,
03/26 15:27:34,SOL,0.315,0.685,holding,
03/26 15:27:36,SOL,0.315,0.685,holding,
03/26 15:27:39,SOL,0.315,0.685,holding,
03/26 15:27:42,SOL,0.24,0.76,holding,
03/26 15:27:45,BTC,0.17,0.83,*** BUY NO @ 83.00% ***,
03/26 15:27:45,SOL,0.235,0.765,holding,
03/26 15:27:48,BTC,0.19,0.81,holding,
03/26 15:27:48,SOL,0.235,0.765,holding,
03/26 15:27:50,BTC,0.16,0.84,holding,
03/26 15:27:51,ETH,0.2,0.8,*** BUY NO @ 80.00% ***,
03/26 15:27:52,SOL,0.175,0.825,holding,
03/26 15:27:54,BTC,0.175,0.825,holding,
03/26 15:27:54,ETH,0.22,0.78,holding,
03/26 15:27:54,SOL,0.165,0.835,holding,
03/26 15:27:57,BTC,0.195,0.8,holding,
03/26 15:27:57,ETH,0.215,0.785,holding,
03/26 15:27:57,SOL,0.16,0.84,holding,
03/26 15:27:59,BTC,0.225,0.775,holding,
03/26 15:28:00,ETH,0.205,0.795,holding,
03/26 15:28:00,SOL,0.155,0.845,holding,
03/26 15:28:02,BTC,0.285,0.715,holding,
03/26 15:28:03,ETH,0.285,0.715,holding,
03/26 15:28:03,SOL,0.185,0.815,holding,
03/26 15:28:05,BTC,0.255,0.75,holding,
03/26 15:28:05,ETH,0.25,0.75,holding,
03/26 15:28:06,SOL,0.145,0.855,holding,
03/26 15:28:08,BTC,0.205,0.795,holding,
03/26 15:28:08,ETH,0.24,0.76,holding,
03/26 15:28:08,SOL,0.145,0.855,holding,
03/26 15:28:11,BTC,0.16,0.84,holding,
03/26 15:28:11,ETH,0.19,0.81,holding,
03/26 15:28:11,SOL,0.135,0.865,holding,
03/26 15:28:14,BTC,0.11,0.9,holding,
03/26 15:28:14,ETH,0.135,0.87,holding,
03/26 15:28:14,SOL,0.065,0.935,holding,
03/26 15:28:16,BTC,0.055,0.945,holding,
03/26 15:28:17,ETH,0.085,0.915,holding,
03/26 15:28:17,SOL,0.065,0.935,holding,
03/26 15:28:19,BTC,0.055,0.945,holding,
03/26 15:28:19,ETH,0.085,0.915,holding,
03/26 15:28:20,SOL,0.065,0.935,holding,
03/26 15:28:22,BTC,0.055,0.945,holding,
03/26 15:28:22,ETH,0.085,0.915,holding,
03/26 15:28:23,SOL,0.065,0.935,holding,
03/26 15:28:25,BTC,0.055,0.945,holding,
03/26 15:28:25,ETH,0.08,0.92,holding,
03/26 15:28:26,SOL,0.06,0.945,holding,
03/26 15:28:28,BTC,0.065,0.935,holding,
03/26 15:28:28,ETH,0.085,0.915,holding,
03/26 15:28:28,SOL,0.06,0.94,holding,
03/26 15:28:31,BTC,0.075,0.925,holding,
03/26 15:28:31,ETH,0.105,0.895,holding,
03/26 15:28:31,SOL,0.065,0.935,holding,
03/26 15:28:33,BTC,0.06,0.94,holding,
03/26 15:28:34,ETH,0.105,0.895,holding,
03/26 15:28:34,SOL,0.065,0.935,holding,
03/26 15:28:36,BTC,0.025,0.975,holding,
03/26 15:28:37,BTC,0.025,0.975,*** SELL NO @ 97.50% ***,
03/26 15:28:37,ETH,0.045,0.955,holding,
03/26 15:28:37,SOL,0.045,0.955,holding,
03/26 15:28:40,BTC,0.015,0.985,holding,
03/26 15:28:40,ETH,0.045,0.955,holding,
03/26 15:28:40,SOL,0.045,0.955,holding,
03/26 15:28:43,BTC,0.015,0.985,holding,
03/26 15:28:43,ETH,0.025,0.975,*** SELL NO @ 97.50% ***,
03/26 15:28:44,ETH,0.025,0.975,holding,
03/26 15:28:44,SOL,0.035,0.965,holding,
