time,asset,yes,no,event,pnl
03/26 20:12:27,SOL,0.78,0.22,holding,
03/26 20:12:30,SOL,0.78,0.22,holding,
03/26 20:12:32,SOL,0.77,0.23,holding,
03/26 20:12:35,SOL,0.79,0.21,holding,
03/26 20:12:37,SOL,0.79,0.21,holding,
03/26 20:12:39,SOL,0.775,0.225,holding,
03/26 20:12:42,SOL,0.765,0.235,holding,
03/26 20:12:44,SOL,0.765,0.235,holding,
03/26 20:12:46,SOL,0.775,0.225,holding,
03/26 20:12:49,SOL,0.775,0.225,holding,
03/26 20:12:51,SOL,0.775,0.225,holding,
03/26 20:12:54,SOL,0.775,0.225,holding,
03/26 20:12:56,SOL,0.73,0.27,holding,
03/26 20:12:58,SOL,0.735,0.27,holding,
03/26 20:13:01,SOL,0.705,0.295,holding,
03/26 20:13:03,SOL,0.705,0.295,holding,
03/26 20:13:05,SOL,0.75,0.25,holding,
03/26 20:13:08,SOL,0.745,0.255,holding,
03/26 20:13:10,SOL,0.75,0.25,holding,
03/26 20:13:13,SOL,0.765,0.235,holding,
03/26 20:13:15,SOL,0.77,0.23,holding,
03/26 20:13:17,SOL,0.77,0.23,holding,
03/26 20:13:20,SOL,0.75,0.25,holding,
03/26 20:13:22,SOL,0.7,0.3,holding,
03/26 20:13:25,SOL,0.705,0.295,holding,
03/26 20:13:27,SOL,0.715,0.285,holding,
03/26 20:13:30,SOL,0.645,0.355,holding,
03/26 20:13:32,SOL,0.62,0.38,holding,
03/26 20:13:35,SOL,0.625,0.375,holding,
03/26 20:13:37,SOL,0.645,0.355,holding,
03/26 20:13:39,SOL,0.62,0.38,holding,
03/26 20:13:42,SOL,0.64,0.36,holding,
03/26 20:13:44,SOL,0.78,0.22,holding,
03/26 20:13:46,SOL,0.69,0.31,holding,
03/26 20:13:49,SOL,0.705,0.295,holding,
03/26 20:13:51,SOL,0.78,0.225,holding,
03/26 20:13:53,SOL,0.775,0.225,holding,
03/26 20:13:56,SOL,0.775,0.225,holding,
03/26 20:13:58,SOL,0.81,0.19,holding,
03/26 20:14:01,SOL,0.865,0.135,holding,
03/26 20:14:03,SOL,0.935,0.065,holding,
03/26 20:14:05,SOL,0.935,0.065,holding,
03/26 20:14:07,SOL,0.93,0.07,holding,
03/26 20:14:10,SOL,0.93,0.07,holding,
03/26 20:14:12,SOL,0.935,0.065,holding,
03/26 20:14:14,SOL,0.945,0.055,holding,
03/26 20:14:16,SOL,0.94,0.06,holding,
03/26 20:14:19,SOL,0.95,0.05,holding,
03/26 20:14:21,SOL,0.95,0.05,holding,
03/26 20:14:23,SOL,0.945,0.055,holding,
03/26 20:14:25,SOL,0.945,0.055,holding,
03/26 20:14:28,SOL,0.965,0.035,holding,
03/26 20:14:30,SOL,0.93,0.065,holding,
03/26 20:14:32,SOL,0.94,0.06,holding,
03/26 20:14:35,SOL,0.935,0.065,holding,
03/26 20:14:37,SOL,0.945,0.055,holding,
03/26 20:14:39,SOL,0.965,0.035,holding,
03/26 20:14:41,SOL,0.965,0.035,holding,
03/26 20:14:41,SOL,0.97,0.03,*** SELL YES @ 97.00% ***,
03/26 20:14:46,SOL,0.93,0.07,holding,
03/26 20:14:48,SOL,0.785,0.215,holding,
03/26 20:14:51,SOL,0.85,0.15,holding,
03/26 20:14:53,SOL,0.96,0.04,holding,
03/26 20:14:55,SOL,0.935,0.065,holding,
03/26 20:14:57,SOL,0.94,0.06,holding,
03/26 20:14:59,SOL,0.995,0.005,holding,
03/26 20:25:17,SOL,0.815,0.185,*** BUY YES @ 81.50% ***,
03/26 20:25:24,SOL,0.815,0.185,holding,
03/26 20:25:27,SOL,0.795,0.205,holding,
03/26 20:25:29,SOL,0.805,0.195,holding,
03/26 20:25:31,SOL,0.815,0.185,holding,
03/26 20:25:33,SOL,0.85,0.15,holding,
03/26 20:25:36,SOL,0.87,0.125,holding,
03/26 20:25:38,SOL,0.865,0.135,holding,
03/26 20:25:40,SOL,0.855,0.145,holding,
03/26 20:25:43,SOL,0.885,0.115,holding,
03/26 20:25:45,SOL,0.89,0.11,holding,
03/26 20:25:47,SOL,0.895,0.105,holding,
03/26 20:25:50,SOL,0.905,0.095,holding,
03/26 20:25:52,SOL,0.895,0.105,holding,
03/26 20:25:54,SOL,0.905,0.095,holding,
03/26 20:25:57,SOL,0.905,0.095,holding,
03/26 20:25:59,SOL,0.905,0.095,holding,
03/26 20:26:01,SOL,0.905,0.095,holding,
03/26 20:26:03,SOL,0.905,0.095,holding,
03/26 20:26:06,SOL,0.915,0.085,holding,
03/26 20:26:08,SOL,0.915,0.085,holding,
03/26 20:26:10,SOL,0.915,0.085,holding,
03/26 20:26:13,SOL,0.925,0.075,holding,
03/26 20:26:15,SOL,0.925,0.075,holding,
03/26 20:26:18,SOL,0.925,0.075,holding,
03/26 20:26:20,SOL,0.925,0.075,holding,
03/26 20:26:22,SOL,0.935,0.065,holding,
03/26 20:26:25,SOL,0.935,0.065,holding,
03/26 20:26:27,SOL,0.955,0.045,holding,
03/26 20:26:29,SOL,0.955,0.045,holding,
03/26 20:26:31,SOL,0.955,0.045,holding,
03/26 20:26:34,SOL,0.955,0.045,holding,
03/26 20:26:36,SOL,0.96,0.04,holding,
03/26 20:26:38,SOL,0.955,0.045,holding,
03/26 20:26:40,SOL,0.935,0.065,holding,
03/26 20:26:43,SOL,0.935,0.065,holding,
03/26 20:26:45,SOL,0.945,0.055,holding,
03/26 20:26:47,SOL,0.945,0.055,holding,
03/26 20:26:50,SOL,0.935,0.065,holding,
03/26 20:26:52,SOL,0.895,0.105,holding,
03/26 20:26:54,SOL,0.895,0.105,holding,
03/26 20:26:57,SOL,0.885,0.115,holding,
03/26 20:26:59,SOL,0.905,0.095,holding,
03/26 20:27:01,SOL,0.905,0.095,holding,
03/26 20:27:04,SOL,0.92,0.08,holding,
03/26 20:27:06,SOL,0.935,0.065,holding,
03/26 20:27:08,SOL,0.935,0.065,holding,
03/26 20:27:10,SOL,0.94,0.06,holding,
03/26 20:27:13,SOL,0.935,0.065,holding,
03/26 20:27:15,SOL,0.94,0.06,holding,
03/26 20:27:17,SOL,0.94,0.06,holding,
03/26 20:27:20,SOL,0.945,0.055,holding,
03/26 20:27:22,SOL,0.945,0.055,holding,
03/26 20:27:24,SOL,0.945,0.055,holding,
03/26 20:27:27,SOL,0.945,0.055,holding,
03/26 20:27:29,SOL,0.925,0.075,holding,
03/26 20:27:31,SOL,0.925,0.075,holding,
03/26 20:27:33,SOL,0.94,0.06,holding,
03/26 20:27:36,SOL,0.945,0.055,holding,
03/26 20:27:38,SOL,0.945,0.055,holding,
03/26 20:27:40,SOL,0.935,0.065,holding,
03/26 20:27:43,SOL,0.925,0.075,holding,
03/26 20:27:45,SOL,0.925,0.075,holding,
03/26 20:27:48,SOL,0.925,0.075,holding,
03/26 20:27:50,SOL,0.925,0.075,holding,
03/26 20:27:52,SOL,0.955,0.045,holding,
03/26 20:27:55,SOL,0.955,0.045,holding,
03/26 20:27:57,SOL,0.955,0.045,holding,
03/26 20:27:59,SOL,0.965,0.035,holding,
03/26 20:28:01,SOL,0.975,0.025,*** SELL YES @ 97.50% ***,
03/26 20:28:07,SOL,0.975,0.025,holding,
03/26 20:28:09,SOL,0.975,0.025,holding,
03/26 20:28:11,SOL,0.975,0.025,holding,
03/26 20:28:13,SOL,0.975,0.025,holding,
03/26 20:28:15,SOL,0.975,0.025,holding,
03/26 20:28:17,SOL,0.975,0.025,holding,
03/26 20:28:20,SOL,0.975,0.025,holding,
03/26 20:28:23,SOL,0.975,0.025,holding,
03/26 20:28:25,SOL,0.975,0.025,holding,
03/26 20:28:27,SOL,0.975,0.025,holding,
03/26 20:28:29,SOL,0.975,0.025,holding,
03/26 20:28:31,SOL,0.975,0.025,holding,
03/26 20:28:33,SOL,0.975,0.025,holding,
03/26 20:28:36,SOL,0.975,0.025,holding,
03/26 20:28:38,SOL,0.975,0.025,holding,
03/26 20:28:40,SOL,0.975,0.025,holding,
03/26 20:28:42,SOL,0.975,0.025,holding,
03/26 20:28:45,SOL,0.975,0.025,holding,
03/26 20:28:47,SOL,0.985,0.015,holding,
03/26 20:28:49,SOL,0.985,0.015,holding,
03/26 20:28:51,SOL,0.995,0.005,holding,
03/26 20:28:53,SOL,0.995,0.005,holding,
03/26 20:28:55,SOL,0.995,0.005,holding,
03/26 20:28:58,SOL,0.995,0.005,holding,
03/26 20:29:00,SOL,0.995,0.005,holding,
03/26 20:29:02,SOL,0.995,0.005,holding,
03/26 20:29:05,SOL,0.995,0.005,holding,
03/26 20:29:07,SOL,0.995,0.005,holding,
03/26 20:29:09,SOL,0.995,0.005,holding,
03/26 20:29:11,SOL,0.995,0.005,holding,
03/26 20:29:13,SOL,0.995,0.005,holding,
03/26 20:29:15,SOL,0.995,0.005,holding,
03/26 20:29:18,SOL,0.995,0.005,holding,
03/26 20:29:20,SOL,0.995,0.005,holding,
03/26 20:29:22,SOL,0.995,0.005,holding,
03/26 20:29:24,SOL,0.995,0.005,holding,
03/26 20:29:26,SOL,0.995,0.005,holding,
03/26 20:29:29,SOL,0.995,0.005,holding,
03/26 20:29:31,SOL,0.995,0.005,holding,
03/26 20:29:33,SOL,0.995,0.005,holding,
03/26 20:29:35,SOL,0.995,0.005,holding,
03/26 20:29:37,SOL,0.995,0.005,holding,
03/26 20:29:40,SOL,0.995,0.005,holding,
03/26 20:29:42,SOL,0.995,0.005,holding,
03/26 20:29:44,SOL,0.995,0.005,holding,
03/26 20:29:46,SOL,0.995,0.005,holding,
03/26 20:29:48,SOL,0.995,0.005,holding,
03/26 20:29:51,SOL,0.995,0.005,holding,
03/26 20:29:53,SOL,0.995,0.005,holding,
03/26 20:29:55,SOL,0.995,0.005,holding,
03/26 20:29:57,SOL,0.995,0.005,holding,
03/26 20:29:59,SOL,0.995,0.005,holding,
03/26 20:40:01,BTC,0.085,0.915,*** S2 BUY YES @ 8.50% ***,
03/26 20:40:05,SOL,0.075,0.925,*** S2 BUY YES @ 7.50% ***,
03/26 20:40:10,BTC,0.075,0.925,holding,
03/26 20:40:11,SOL,0.075,0.925,holding,
03/26 20:40:13,BTC,0.095,0.905,holding,
03/26 20:40:13,SOL,0.065,0.935,holding,
03/26 20:40:15,BTC,0.085,0.915,holding,
03/26 20:40:15,SOL,0.06,0.94,holding,
03/26 20:40:18,BTC,0.065,0.935,holding,
03/26 20:40:18,SOL,0.055,0.945,holding,
03/26 20:40:20,BTC,0.065,0.935,holding,
03/26 20:40:20,SOL,0.055,0.945,holding,
03/26 20:40:23,BTC,0.07,0.935,holding,
03/26 20:40:23,SOL,0.05,0.95,holding,
03/26 20:40:25,BTC,0.075,0.925,holding,
03/26 20:40:25,SOL,0.05,0.95,holding,
03/26 20:40:28,BTC,0.075,0.925,holding,
03/26 20:40:28,SOL,0.05,0.95,holding,
03/26 20:40:30,BTC,0.075,0.925,holding,
03/26 20:40:30,SOL,0.045,0.955,holding,
03/26 20:40:33,BTC,0.075,0.925,holding,
03/26 20:40:33,SOL,0.045,0.955,holding,
03/26 20:40:35,BTC,0.055,0.945,holding,
03/26 20:40:35,SOL,0.035,0.965,holding,
03/26 20:40:38,BTC,0.045,0.955,holding,
03/26 20:40:38,SOL,0.025,0.975,holding,
03/26 20:40:40,BTC,0.045,0.955,holding,
03/26 20:40:40,SOL,0.025,0.975,holding,
03/26 20:40:43,BTC,0.045,0.955,holding,
03/26 20:40:43,SOL,0.025,0.975,holding,
03/26 20:40:45,BTC,0.045,0.955,holding,
03/26 20:40:45,SOL,0.015,0.985,holding,
03/26 20:40:48,BTC,0.045,0.955,holding,
03/26 20:40:48,SOL,0.015,0.985,holding,
03/26 20:40:50,BTC,0.035,0.965,holding,
03/26 20:40:51,SOL,0.015,0.985,holding,
03/26 20:40:53,BTC,0.025,0.975,holding,
03/26 20:40:53,SOL,0.005,0.995,holding,
03/26 20:40:55,BTC,0.025,0.975,holding,
03/26 20:40:56,SOL,0.005,0.995,holding,
03/26 20:40:58,BTC,0.025,0.975,holding,
03/26 20:40:58,SOL,0.005,0.995,holding,
03/26 20:41:00,BTC,0.025,0.975,holding,
03/26 20:41:01,SOL,0.005,0.995,holding,
03/26 20:41:03,BTC,0.025,0.975,holding,
03/26 20:41:03,SOL,0.005,0.995,holding,
03/26 20:41:05,BTC,0.025,0.975,holding,
03/26 20:41:06,SOL,0.005,0.995,holding,
03/26 20:41:08,BTC,0.025,0.975,holding,
03/26 20:41:08,SOL,0.005,0.995,holding,
03/26 20:41:10,BTC,0.025,0.975,holding,
03/26 20:41:11,SOL,0.005,0.995,holding,
03/26 20:41:13,BTC,0.025,0.975,holding,
03/26 20:41:13,SOL,0.005,0.995,holding,
03/26 20:41:15,BTC,0.03,0.97,holding,
03/26 20:41:16,SOL,0.01,0.99,holding,
03/26 20:41:18,BTC,0.065,0.935,holding,
03/26 20:41:18,SOL,0.03,0.97,holding,
03/26 20:41:20,BTC,0.04,0.96,holding,
03/26 20:41:21,SOL,0.02,0.98,holding,
03/26 20:41:23,BTC,0.035,0.965,holding,
03/26 20:41:23,SOL,0.02,0.98,holding,
03/26 20:41:25,BTC,0.035,0.965,holding,
03/26 20:41:26,SOL,0.015,0.985,holding,
03/26 20:41:28,BTC,0.035,0.965,holding,
03/26 20:41:28,SOL,0.015,0.985,holding,
03/26 20:41:30,BTC,0.035,0.965,holding,
03/26 20:41:31,SOL,0.015,0.985,holding,
03/26 20:41:33,BTC,0.035,0.965,holding,
03/26 20:41:33,SOL,0.01,0.99,holding,
03/26 20:41:35,BTC,0.025,0.975,holding,
03/26 20:41:36,SOL,0.01,0.99,holding,
03/26 20:41:38,BTC,0.025,0.975,holding,
03/26 20:41:38,SOL,0.01,0.99,holding,
03/26 20:41:40,BTC,0.025,0.975,holding,
03/26 20:41:41,SOL,0.01,0.99,holding,
03/26 20:41:43,BTC,0.025,0.975,holding,
03/26 20:41:43,SOL,0.01,0.99,holding,
03/26 20:41:45,BTC,0.025,0.975,holding,
03/26 20:41:46,SOL,0.01,0.99,holding,
03/26 20:41:48,BTC,0.025,0.975,holding,
03/26 20:41:48,SOL,0.01,0.99,holding,
03/26 20:41:50,BTC,0.025,0.975,holding,
03/26 20:41:51,SOL,0.015,0.985,holding,
03/26 20:41:53,BTC,0.025,0.975,holding,
03/26 20:41:53,SOL,0.005,0.995,holding,
03/26 20:41:55,BTC,0.025,0.975,holding,
03/26 20:41:56,SOL,0.005,0.995,holding,
03/26 20:41:58,BTC,0.025,0.975,holding,
03/26 20:41:58,SOL,0.005,0.995,holding,
03/26 20:42:00,BTC,0.025,0.975,holding,
03/26 20:42:01,SOL,0.005,0.995,holding,
03/26 20:42:03,BTC,0.025,0.975,holding,
03/26 20:42:03,SOL,0.005,0.995,holding,
03/26 20:42:05,BTC,0.025,0.975,holding,
03/26 20:42:05,SOL,0.005,0.995,holding,
03/26 20:42:08,BTC,0.015,0.985,holding,
03/26 20:42:08,SOL,0.005,0.995,holding,
03/26 20:42:10,BTC,0.015,0.985,holding,
03/26 20:42:11,SOL,0.005,0.995,holding,
03/26 20:42:13,BTC,0.015,0.985,holding,
03/26 20:42:13,SOL,0.005,0.995,holding,
03/26 20:42:15,BTC,0.015,0.985,holding,
03/26 20:42:16,SOL,0.005,0.995,holding,
03/26 20:42:18,BTC,0.015,0.985,holding,
03/26 20:42:18,SOL,0.005,0.995,holding,
03/26 20:42:20,BTC,0.015,0.985,holding,
03/26 20:42:20,SOL,0.005,0.995,holding,
03/26 20:42:23,BTC,0.015,0.985,holding,
03/26 20:42:23,SOL,0.005,0.995,holding,
03/26 20:42:25,BTC,0.015,0.985,holding,
03/26 20:42:25,SOL,0.005,0.995,holding,
03/26 20:42:28,BTC,0.015,0.985,holding,
03/26 20:42:28,SOL,0.005,0.995,holding,
03/26 20:42:30,BTC,0.015,0.985,holding,
03/26 20:42:30,SOL,0.005,0.995,holding,
03/26 20:42:33,BTC,0.015,0.985,holding,
03/26 20:42:33,SOL,0.005,0.995,holding,
03/26 20:42:35,BTC,0.015,0.985,holding,
03/26 20:42:35,SOL,0.005,0.995,holding,
03/26 20:42:38,BTC,0.015,0.985,holding,
03/26 20:42:38,SOL,0.005,0.995,holding,
03/26 20:42:40,BTC,0.015,0.985,holding,
03/26 20:42:40,SOL,0.005,0.995,holding,
03/26 20:42:43,BTC,0.015,0.985,holding,
03/26 20:42:43,SOL,0.005,0.995,holding,
03/26 20:42:45,BTC,0.015,0.985,holding,
03/26 20:42:45,SOL,0.005,0.995,holding,
03/26 20:42:48,BTC,0.015,0.985,holding,
03/26 20:42:48,SOL,0.005,0.995,holding,
03/26 20:42:50,BTC,0.015,0.985,holding,
03/26 20:42:50,SOL,0.005,0.995,holding,
03/26 20:42:53,BTC,0.015,0.985,holding,
03/26 20:42:53,SOL,0.005,0.995,holding,
03/26 20:42:55,BTC,0.015,0.985,holding,
03/26 20:42:55,SOL,0.005,0.995,holding,
03/26 20:42:58,BTC,0.025,0.975,holding,
03/26 20:42:58,SOL,0.005,0.995,holding,
03/26 20:43:00,BTC,0.025,0.975,holding,
03/26 20:43:00,SOL,0.005,0.995,holding,
03/26 20:43:03,BTC,0.025,0.975,holding,
03/26 20:43:03,SOL,0.005,0.995,holding,
03/26 20:43:05,BTC,0.06,0.935,holding,
03/26 20:43:05,SOL,0.005,0.995,holding,
03/26 20:43:08,BTC,0.065,0.935,holding,
03/26 20:43:08,SOL,0.005,0.995,holding,
03/26 20:43:10,BTC,0.075,0.925,holding,
03/26 20:43:10,SOL,0.005,0.995,holding,
03/26 20:43:13,BTC,0.075,0.925,holding,
03/26 20:43:13,SOL,0.005,0.995,holding,
03/26 20:43:15,BTC,0.065,0.935,holding,
03/26 20:43:15,SOL,0.005,0.995,holding,
03/26 20:43:18,BTC,0.195,0.805,holding,
03/26 20:43:18,BTC,0.185,0.805,*** S2 TP1 YES @ 19.50% ***,
03/26 20:43:18,SOL,0.005,0.995,holding,
03/26 20:43:20,BTC,0.185,0.815,holding,
03/26 20:43:20,SOL,0.005,0.995,holding,
03/26 20:43:23,BTC,0.12,0.875,holding,
03/26 20:43:23,SOL,0.005,0.995,holding,
03/26 20:43:25,BTC,0.105,0.895,holding,
03/26 20:43:25,SOL,0.005,0.995,holding,
03/26 20:43:28,BTC,0.12,0.88,holding,
03/26 20:43:28,SOL,0.005,0.995,holding,
03/26 20:43:30,BTC,0.095,0.905,holding,
03/26 20:43:30,SOL,0.005,0.995,holding,
03/26 20:43:33,BTC,0.095,0.905,holding,
03/26 20:43:33,SOL,0.005,0.995,holding,
03/26 20:43:35,BTC,0.045,0.955,holding,
03/26 20:43:35,SOL,0.005,0.995,holding,
03/26 20:43:38,BTC,0.045,0.955,holding,
03/26 20:43:38,SOL,0.005,0.995,holding,
03/26 20:43:40,BTC,0.065,0.935,holding,
03/26 20:43:40,SOL,0.005,0.995,holding,
03/26 20:43:43,BTC,0.065,0.935,holding,
03/26 20:43:43,SOL,0.005,0.995,holding,
03/26 20:43:45,BTC,0.045,0.955,holding,
03/26 20:43:46,SOL,0.005,0.995,holding,
03/26 20:43:48,BTC,0.085,0.915,holding,
03/26 20:43:48,SOL,0.005,0.995,holding,
03/26 20:43:50,BTC,0.085,0.915,holding,
03/26 20:43:51,SOL,0.005,0.995,holding,
03/26 20:43:53,BTC,0.115,0.885,holding,
03/26 20:43:53,SOL,0.005,0.995,holding,
03/26 20:43:55,BTC,0.095,0.905,holding,
03/26 20:43:55,SOL,0.005,0.995,holding,
03/26 20:43:58,BTC,0.085,0.915,holding,
03/26 20:43:58,SOL,0.005,0.995,holding,
03/26 20:44:00,BTC,0.095,0.91,holding,
03/26 20:44:00,SOL,0.005,0.995,holding,
03/26 20:44:03,BTC,0.085,0.92,holding,
03/26 20:44:03,SOL,0.005,0.995,holding,
03/26 20:44:05,BTC,0.0945,0.9055,holding,
03/26 20:44:05,SOL,0.0005,0.9995,holding,
03/26 20:44:08,BTC,0.075,0.925,holding,
03/26 20:44:08,SOL,0.0005,0.9995,holding,
03/26 20:44:10,BTC,0.0845,0.915,holding,
03/26 20:44:10,SOL,0.0005,0.9995,holding,
03/26 20:44:13,BTC,0.0795,0.9205,holding,
03/26 20:44:13,SOL,0.0005,0.9995,holding,
03/26 20:44:15,BTC,0.075,0.925,holding,
03/26 20:44:15,SOL,0.0005,0.9995,holding,
03/26 20:44:18,BTC,0.075,0.925,holding,
03/26 20:44:18,SOL,0.0005,0.9995,holding,
03/26 20:44:20,BTC,0.025,0.975,holding,
03/26 20:44:20,SOL,0.0005,0.9995,holding,
03/26 20:44:23,BTC,0.015,0.985,holding,
03/26 20:44:23,SOL,0.0005,0.9995,holding,
03/26 20:44:25,BTC,0.0145,0.9855,holding,
03/26 20:44:25,SOL,0.0005,0.9995,holding,
03/26 20:44:28,BTC,0.0125,0.9875,holding,
03/26 20:44:28,SOL,0.0005,0.9995,holding,
03/26 20:44:30,BTC,0.0125,0.9875,holding,
03/26 20:44:30,SOL,0.0005,0.9995,holding,
03/26 20:44:33,BTC,0.0085,0.9915,holding,
03/26 20:44:33,SOL,0.0005,0.9995,holding,
03/26 20:44:35,BTC,0.006,0.994,holding,
03/26 20:44:35,SOL,0.0005,0.9995,holding,
03/26 20:44:38,BTC,0.006,0.994,holding,
03/26 20:44:38,SOL,0.0005,0.9995,holding,
03/26 20:44:40,BTC,0.006,0.994,holding,
03/26 20:44:40,SOL,0.0005,0.9995,holding,
03/26 20:44:43,BTC,0.0055,0.9945,holding,
03/26 20:44:43,SOL,0.0005,0.9995,holding,
03/26 20:44:45,BTC,0.0055,0.9945,holding,
03/26 20:44:45,SOL,0.0005,0.9995,holding,
03/26 20:44:48,BTC,0.0055,0.9945,holding,
03/26 20:44:48,SOL,0.0005,0.9995,holding,
03/26 20:44:50,BTC,0.0055,0.9945,holding,
03/26 20:44:50,SOL,0.0005,0.9995,holding,
03/26 20:44:53,BTC,0.0005,0.9995,holding,
03/26 20:44:53,SOL,0.0005,0.9995,holding,
03/26 20:44:55,BTC,0.0005,0.9995,holding,
03/26 20:44:55,SOL,0.0005,0.9995,holding,
03/26 20:44:58,BTC,0.0005,0.9995,holding,
03/26 20:44:58,SOL,0.0005,0.9995,holding,
03/26 21:10:01,ETH,0.935,0.065,*** S2 BUY NO @ 6.50% ***,
03/26 21:10:05,SOL,0.925,0.075,*** S2 BUY NO @ 7.50% ***,
03/26 21:10:10,ETH,0.905,0.095,holding,
03/26 21:10:11,SOL,0.925,0.075,holding,
03/26 21:10:13,ETH,0.885,0.12,holding,
03/26 21:10:14,SOL,0.895,0.105,holding,
03/26 21:10:16,ETH,0.875,0.125,holding,
03/26 21:10:17,SOL,0.91,0.09,holding,
03/26 21:10:19,ETH,0.875,0.125,holding,
03/26 21:10:19,SOL,0.905,0.095,holding,
03/26 21:10:22,ETH,0.885,0.115,holding,
03/26 21:10:22,SOL,0.92,0.08,holding,
03/26 21:10:25,ETH,0.885,0.115,holding,
03/26 21:10:25,SOL,0.92,0.08,holding,
03/26 21:10:28,ETH,0.885,0.115,holding,
03/26 21:10:28,SOL,0.92,0.08,holding,
03/26 21:10:31,ETH,0.885,0.115,holding,
03/26 21:10:31,SOL,0.925,0.075,holding,
03/26 21:10:34,ETH,0.885,0.115,holding,
03/26 21:10:34,SOL,0.905,0.095,holding,
03/26 21:10:37,ETH,0.825,0.175,*** S2 TP1 NO @ 17.50% ***,
03/26 21:10:37,ETH,0.825,0.175,holding,
03/26 21:10:37,SOL,0.905,0.095,holding,
03/26 21:10:40,ETH,0.825,0.175,holding,
03/26 21:10:40,SOL,0.905,0.095,holding,
03/26 21:10:43,ETH,0.825,0.175,holding,
03/26 21:10:43,SOL,0.89,0.11,holding,
03/26 21:10:46,ETH,0.825,0.175,holding,
03/26 21:10:46,SOL,0.875,0.125,holding,
03/26 21:10:49,ETH,0.835,0.165,holding,
03/26 21:10:49,SOL,0.87,0.13,holding,
03/26 21:10:52,ETH,0.835,0.165,holding,
03/26 21:10:52,SOL,0.885,0.115,holding,
03/26 21:10:55,ETH,0.865,0.135,holding,
03/26 21:10:55,SOL,0.875,0.125,holding,
03/26 21:10:58,ETH,0.865,0.135,holding,
03/26 21:10:58,SOL,0.885,0.115,holding,
03/26 21:11:01,ETH,0.865,0.135,holding,
03/26 21:11:01,SOL,0.895,0.105,holding,
03/26 21:11:04,ETH,0.865,0.135,holding,
03/26 21:11:04,SOL,0.885,0.115,holding,
03/26 21:11:07,ETH,0.875,0.125,holding,
03/26 21:11:07,SOL,0.885,0.115,holding,
03/26 21:11:10,ETH,0.895,0.105,holding,
03/26 21:11:10,SOL,0.895,0.105,holding,
03/26 21:11:13,ETH,0.925,0.075,holding,
03/26 21:11:13,SOL,0.935,0.065,holding,
03/26 21:11:16,ETH,0.915,0.085,holding,
03/26 21:11:16,SOL,0.925,0.075,holding,
03/26 21:11:18,ETH,0.925,0.075,holding,
03/26 21:11:19,SOL,0.925,0.075,holding,
03/26 21:11:21,ETH,0.925,0.075,holding,
03/26 21:11:22,SOL,0.955,0.045,holding,
03/26 21:11:24,ETH,0.925,0.075,holding,
03/26 21:11:24,SOL,0.955,0.045,holding,
03/26 21:11:27,ETH,0.955,0.045,holding,
03/26 21:11:27,SOL,0.975,0.025,holding,
03/26 21:11:30,ETH,0.955,0.045,holding,
03/26 21:11:30,SOL,0.975,0.025,holding,
03/26 21:11:33,ETH,0.955,0.045,holding,
03/26 21:11:33,SOL,0.975,0.025,holding,
03/26 21:11:36,ETH,0.955,0.045,holding,
03/26 21:11:36,SOL,0.97,0.03,holding,
03/26 21:11:38,ETH,0.955,0.045,holding,
03/26 21:11:39,SOL,0.975,0.025,holding,
03/26 21:11:41,ETH,0.955,0.045,holding,
03/26 21:11:42,SOL,0.975,0.025,holding,
03/26 21:11:44,ETH,0.955,0.045,holding,
03/26 21:11:44,SOL,0.975,0.025,holding,
03/26 21:11:47,ETH,0.965,0.035,holding,
03/26 21:11:47,SOL,0.965,0.035,holding,
03/26 21:11:50,ETH,0.965,0.035,holding,
03/26 21:11:50,SOL,0.965,0.035,holding,
03/26 21:11:53,ETH,0.965,0.035,holding,
03/26 21:11:53,SOL,0.965,0.035,holding,
03/26 21:11:56,ETH,0.965,0.035,holding,
03/26 21:11:56,SOL,0.965,0.035,holding,
03/26 21:11:59,ETH,0.965,0.035,holding,
03/26 21:11:59,SOL,0.965,0.035,holding,
03/26 21:12:02,ETH,0.975,0.025,holding,
03/26 21:12:02,SOL,0.975,0.025,holding,
03/26 21:12:04,ETH,0.985,0.015,holding,
03/26 21:12:05,SOL,0.975,0.025,holding,
03/26 21:12:07,ETH,0.985,0.015,holding,
03/26 21:12:08,SOL,0.985,0.015,holding,
03/26 21:12:10,ETH,0.985,0.015,holding,
03/26 21:12:11,SOL,0.985,0.015,holding,
03/26 21:12:13,ETH,0.985,0.015,holding,
03/26 21:12:13,SOL,0.985,0.015,holding,
03/26 21:12:16,ETH,0.985,0.015,holding,
03/26 21:12:16,SOL,0.985,0.015,holding,
03/26 21:12:19,ETH,0.985,0.015,holding,
03/26 21:12:19,SOL,0.995,0.005,holding,
03/26 21:12:22,ETH,0.985,0.015,holding,
03/26 21:12:23,SOL,0.995,0.005,holding,
03/26 21:12:25,ETH,0.985,0.015,holding,
03/26 21:12:26,SOL,0.995,0.005,holding,
03/26 21:12:28,ETH,0.985,0.015,holding,
03/26 21:12:29,SOL,0.995,0.005,holding,
03/26 21:12:31,ETH,0.985,0.015,holding,
03/26 21:12:32,SOL,0.985,0.015,holding,
03/26 21:12:34,ETH,0.99,0.01,holding,
03/26 21:12:34,SOL,0.985,0.015,holding,
03/26 21:12:37,ETH,0.99,0.01,holding,
03/26 21:12:37,SOL,0.985,0.015,holding,
03/26 21:12:40,ETH,0.995,0.005,holding,
